Fylke,Fylkenavn,Kommune,KommuneID,Parti,ForhåndsStemmer,StemmerTotalt,ProsentAndel,EndringStemmer03,EndringFordeling03,EndringStemmer01,EndringFordeling01
1,Østfold,Råde,0135,MDG,1,1,0,1,0,1,0
1,Østfold,Råde,0135,NKP,0,1,0,1,0,0,0
1,Østfold,Råde,0135,PP,0,23,0.6,-10,-0.5,-16,-0.5
1,Østfold,Råde,0135,ABORT,1,9,0.2,9,0.2,9,0.2
1,Østfold,Råde,0135,Andre2,0,0,0,0,0,-41,-1.1
1,Østfold,Rygge,0136,A,388,2598,33,1295,9.1,745,8.6
1,Østfold,Rygge,0136,SV,132,576,7.3,-138,-5.8,-373,-5.2
1,Østfold,Rygge,0136,RV,6,39,0.5,-51,-1.2,8,0.1
1,Østfold,Rygge,0136,SP,40,278,3.5,43,-0.8,19,0.1
1,Østfold,Rygge,0136,KRF,61,370,4.7,130,0.3,-369,-5
1,Østfold,Rygge,0136,V,57,362,4.6,276,3,194,2.4
1,Østfold,Rygge,0136,H,251,1330,16.9,65,-6.3,-662,-9.4
1,Østfold,Rygge,0136,FRP,328,2197,27.9,824,2.7,816,9.7
1,Østfold,Rygge,0136,KSP,2,8,0.1,-19,-0.4,-10,-0.1
1,Østfold,Rygge,0136,RP,0,0,0,0,0,0,0
1,Østfold,Rygge,0136,PP,25,80,1,1,-0.4,4,0
1,Østfold,Rygge,0136,NKP,1,4,0.1,4,0.1,2,0
1,Østfold,Rygge,0136,KYST,3,18,0.2,4,0,-27,-0.4
1,Østfold,Rygge,0136,DEM,0,2,0,-24,-0.5,2,0
1,Østfold,Rygge,0136,MDG,1,9,0.1,9,0.1,9,0.1
1,Østfold,Rygge,0136,ABORT,4,6,0.1,6,0.1,6,0.1
1,Østfold,Rygge,0136,Andre2,0,0,0,0,0,-79,-1
1,Østfold,Våler,0137,A,87,563,24.7,261,4.6,196,7.7
1,Østfold,Våler,0137,SV,29,134,5.9,-2,-3.2,-77,-3.9
1,Østfold,Våler,0137,RV,4,11,0.5,-2,-0.4,5,0.2
1,Østfold,Våler,0137,SP,10,231,10.1,13,-4.4,-5,-0.8
1,Østfold,Våler,0137,KRF,12,148,6.5,34,-1.1,-163,-7.9
1,Østfold,Våler,0137,V,17,102,4.5,64,1.9,51,2.1
1,Østfold,Våler,0137,H,47,315,13.8,19,-5.9,-215,-10.7
1,Østfold,Våler,0137,FRP,89,736,32.3,386,9,367,15.2
1,Østfold,Våler,0137,DEM,0,2,0.1,-9,-0.6,2,0.1
1,Østfold,Våler,0137,KSP,0,6,0.3,3,0.1,-3,-0.2
1,Østfold,Våler,0137,KYST,0,9,0.4,2,-0.1,-14,-0.7
1,Østfold,Våler,0137,MDG,0,1,0,1,0,1,0
1,Østfold,Våler,0137,NKP,0,0,0,0,0,-4,-0.2
1,Østfold,Våler,0137,PP,8,19,0.8,2,-0.3,1,0
1,Østfold,Våler,0137,RP,0,0,0,0,0,0,0
1,Østfold,Våler,0137,ABORT,0,5,0.2,5,0.2,5,0.2
1,Østfold,Våler,0137,Andre2,0,0,0,0,0,-30,-1.4
1,Østfold,Hobøl,0138,A,67,741,28.6,295,4.2,245,8.8
1,Østfold,Hobøl,0138,SV,31,151,5.8,4,-2.2,-105,-4.4
1,Østfold,Hobøl,0138,RV,6,17,0.7,5,0,-2,-0.1
1,Østfold,Hobøl,0138,SP,33,236,9.1,-42,-6.1,-5,-0.5
1,Østfold,Hobøl,0138,KRF,41,218,8.4,32,-1.8,-116,-4.9
1,Østfold,Hobøl,0138,V,20,135,5.2,58,1,27,0.9
1,Østfold,Hobøl,0138,H,34,294,11.4,37,-2.7,-195,-8.2
1,Østfold,Hobøl,0138,FRP,57,770,29.8,364,7.5,302,11
1,Østfold,Hobøl,0138,NKP,0,0,0,0,0,-1,0
1,Østfold,Hobøl,0138,MDG,1,4,0.2,4,0.2,4,0.2
1,Østfold,Hobøl,0138,DEM,0,1,0,0,0,1,0
1,Østfold,Hobøl,0138,KSP,1,2,0.1,0,0,-4,-0.2
1,Østfold,Hobøl,0138,KYST,0,2,0.1,0,0,-10,-0.4
1,Østfold,Hobøl,0138,PP,3,13,0.5,3,0,-5,-0.2
1,Østfold,Hobøl,0138,RP,0,0,0,0,0,0,0
1,Østfold,Hobøl,0138,ABORT,0,3,0.1,3,0.1,3,0.1
1,Østfold,Hobøl,0138,Andre2,0,0,0,0,0,-52,-2.1
2,Akershus,Vestby,0211,A,362,2241,30.1,530,-0.6,617,6.4
2,Akershus,Vestby,0211,SV,95,646,8.7,44,-2.1,-214,-3.9
2,Akershus,Vestby,0211,RV,14,67,0.9,67,0.9,10,0.1
2,Akershus,Vestby,0211,SP,68,397,5.3,136,0.6,78,0.7
2,Akershus,Vestby,0211,KRF,43,235,3.2,83,0.4,-304,-4.7
2,Akershus,Vestby,0211,V,62,489,6.6,347,4,245,3
2,Akershus,Vestby,0211,H,228,1350,18.1,-275,-11,-649,-11
2,Akershus,Vestby,0211,FRP,285,1908,25.6,976,8.9,836,10
